txn_date,value_date,description,ref_no,debit,credit,balance
2026-07-13,2026-07-13,NEFT-AXISP49789229159-NOVA CHEMICALS IND-INV-2026-1080-CR,AXISP49789229159,,4138.47,1257757.29
2026-07-14,2026-07-14,UPI/66607412630/PAYMENT/HARBOUR MARI,HDFCN66607412630,,27403.64,1285160.93
2026-07-15,2026-07-15,INW REM 876383 LOTUS PAPER MILLS INV20261078,KKBKH56901369166,,34986.54,1320147.47
2026-07-16,2026-07-16,RAZORPAY SETTLEMENT setl_vPeOuBeTLL8UmN 4 TXNS,HDFCN03026283759,,77854.67,1398002.14
2026-07-16,2026-07-16,TRF FRM 18851367009 MERIDIANLOGISTICS INV20261082 CR,PUNBR73929901647,,7007.24,1405009.38
2026-07-16,2026-07-16,NEFT-PUNBR21580673658-ACME INDUSTRIAL SU-CR,PUNBR21580673658,,21765.90,1426775.28
2026-07-20,2026-07-20,IMPS/96877975007/SILVERLINE PACKAGI/INV-2026-1091,KKBKH96877975007,,33828.41,1460603.69
2026-07-21,2026-07-21,RAZORPAY SETTLEMENT setl_MmMxQbDa79TkDi 4 TXNS,AXISP39616116273,,155784.07,1616387.76
2026-07-22,2026-07-22,SUNRISE TEXTILES L FUND TRF 357175 INV20261095,UTIBP90687286984,,6417.95,1622805.71
2026-07-22,2026-07-22,IMPS/59982350323/BHARAT TRADERS,AXISP59982350323,,872.74,1623678.45
2026-07-22,2026-07-22,RAZORPAY SETTLEMENT setl_ZmLKP6HFaWYbZk 1 TXNS,UTIBP59537935486,,16165.17,1639843.62
2026-07-23,2026-07-23,RAZORPAY SETTLEMENT setl_2zVv3bFP7XI6M1 1 TXNS,KKBKH79681826183,,3084.79,1642928.41
2026-07-24,2026-07-24,RAZORPAY SETTLEMENT setl_XUJ83zSYgpOCvX 2 TXNS,PUNBR13077944823,,39291.74,1682220.15
2026-07-25,2026-07-25,RAZORPAY SETTLEMENT setl_4BbjqgOyYt88bA 2 TXNS,UTIBP19023211356,,800.00,1683020.15
2026-07-25,2026-07-25,NEFT-PUNBR79804247072-ACME INDUSTRIAL SU-CR,PUNBR79804247072,,2311.39,1685331.54
2026-07-25,2026-07-25,NEFT-AXISP63260530390-MERIDIAN LOGISTICS-CR,AXISP63260530390,,12537.85,1697869.39
2026-07-29,2026-07-29,RAZORPAY SETTLEMENT setl_oxVjwQkou1lHzn 4 TXNS,UTIBP75484055486,,92857.91,1790727.30
2026-07-30,2026-07-30,RAZORPAY SETTLEMENT setl_Fi1alNxWzkFrNR 2 TXNS,AXISP97073586022,,40412.92,1831140.22
2026-07-31,2026-07-31,RAZORPAY SETTLEMENT setl_QEKGYrNU34re3i 2 TXNS,KKBKH88978389664,,43463.70,1874603.92
2026-08-02,2026-08-02,RAZORPAY SETTLEMENT setl_fyUj4CYVdg3djA 4 TXNS,UTIBP68956236564,,79140.29,1953744.21
2026-08-03,2026-08-03,NEFT-ICICR78801455541-ORCHID FOODS PVT-CR,ICICR78801455541,,7787.45,1961531.66
2026-08-03,2026-08-03,NEFT-PUNBR03078504607-ACME RETAIL PVT LT-INV-2026-1119-CR,PUNBR03078504607,,13102.78,1974634.44
2026-08-03,2026-08-03,RTGS-UTIBP57782911580-BHARAT TRADERS-INV-2026-1117-CR,UTIBP57782911580,,36314.16,2010948.60
2026-08-03,2026-08-03,MB:9019334472-KAVERI AGRO EXPORT-INV/2026/1118,PUNBR64591919136,,25490.63,2036439.23
2026-08-05,2026-08-05,RAZORPAY SETTLEMENT setl_i5dazeBPnUGQ2F 1 TXNS,AXISP62419861700,,21044.99,2057484.22
2026-08-06,2026-08-06,NEFT-UTIBP63652004155-MERIDIAN LOGISTICS-CR,UTIBP63652004155,,46217.22,2103701.44
2026-08-06,2026-08-06,MERIDIAN LOGISTICS FUND TRF 451238 INV20261124,AXISP52329213796,,44690.91,2148392.35
2026-08-06,2026-08-06,RTGS-PUNBR08405769431-MERIDIAN LOGISTICS-CR,PUNBR08405769431,,25512.49,2173904.84
2026-08-08,2026-08-08,UPI/94130061592/PAYMENT/ORCHID FOODS/INV-2026-1126,HDFCN94130061592,,22519.04,2196423.88
2026-08-08,2026-08-08,NEFT-UTIBP20085742757-SUNLINE TEXTILES L-INV-2026-1123-CR,UTIBP20085742757,,41223.33,2237647.21
2026-08-08,2026-08-08,NOVA CHEMICALS IND FUND TRF 420298 INV20261122,HDFCN43913534334,,18300.26,2255947.47
2026-08-10,2026-08-10,RTGS-AXISP86186827032-ACME INDUSTRIAL SU-INV-2026-1129-CR,AXISP86186827032,,21629.53,2277577.00
2026-08-10,2026-08-10,RAZORPAY SETTLEMENT setl_Mw4Pj7aSCDiJKb 4 TXNS,KKBKH68845428280,,109921.40,2387498.40
2026-08-10,2026-08-10,IMPS/76923902088/SUNRISE TEXTILES L/INV-2026-1132,PUNBR76923902088,,32073.18,2419571.58
2026-08-12,2026-08-12,UPI/61006980711/PAYMENT/ACME RETAIL/INV-2026-1137,UTIBP61006980711,,34639.78,2454211.36
2026-08-12,2026-08-12,RTGS-ICICR37923754733-BHARATI TRADERS LL-INV-2026-1133-CR,ICICR37923754733,,46280.53,2500491.89
2026-08-12,2026-08-12,CHARGEBACK REV UTIBP63652004155 DISPUTE,UTIBP63652004155,46217.22,,2454274.67
2026-08-13,2026-08-13,RAZORPAY SETTLEMENT setl_BvH4SCtUoNVyNS 3 TXNS,UTIBP73503561660,,97982.59,2552257.26
2026-08-13,2026-08-13,CHARGEBACK REV PUNBR76923902088 DISPUTE,PUNBR76923902088,32073.18,,2520184.08
2026-08-14,2026-08-14,NEFT-AXISP46437190168-KAVERI AGRO EXPORT-CR,AXISP46437190168,,21747.40,2541931.48
2026-08-17,2026-08-17,INW REM 275492 ACME INDUSTRIAL SU INV20261143,ICICR92259685884,,48020.17,2589951.65
2026-08-17,2026-08-17,IMPS/58847887382/ACME INDUSTRIAL SU,ICICR58847887382,,39034.65,2628986.30
2026-08-17,2026-08-17,NEFT-UTIBP39305717847-QUANTUM INSTRUMENT-INV-2026-1139-CR,UTIBP39305717847,,7375.44,2636361.74
2026-08-17,2026-08-17,RAZORPAY SETTLEMENT setl_t81NaHoXGPM6vV 2 TXNS,PUNBR71101721257,,42393.15,2678754.89
2026-08-17,2026-08-17,RAZORPAY SETTLEMENT setl_7QU4mST2lxDQux 1 TXNS,AXISP62272321604,,28768.27,2707523.16
2026-08-18,2026-08-18,RTGS-ICICR08513189190-GREENFIELD ORGANIC-INV-2026-1147-CR,ICICR08513189190,,36357.00,2743880.16
2026-08-18,2026-08-18,NEFT-UTIBP21646863285-PINNACLE STEEL TRA-CR,UTIBP21646863285,,44292.54,2788172.70
2026-08-18,2026-08-18,RTGS-AXISP87354459090-SUNRISE TEXTILES L-CR,AXISP87354459090,,23276.64,2811449.34
2026-08-18,2026-08-18,RAZORPAY SETTLEMENT setl_1uY8GkW5tPvkSo 1 TXNS,KKBKH85413615967,,32418.28,2843867.62
2026-08-18,2026-08-18,NEFT-ICICR83645844342-BHARATI TRADERS LL-CR,ICICR83645844342,,9473.62,2853341.24
2026-08-21,2026-08-21,RAZORPAY SETTLEMENT setl_SdC6wHl9pJYgsE 4 TXNS,HDFCN53347880470,,46514.70,2899855.94
2026-08-21,2026-08-21,RAZORPAY SETTLEMENT setl_cgzgbvdQTwKKpV 1 TXNS,HDFCN42496380735,,29376.05,2929231.99
2026-08-24,2026-08-24,MB:7604118293-VERTEX ENGINEERIN-INV/2026/1153,ICICR05949920931,,24088.99,2953320.98
2026-08-24,2026-08-24,NEFT-KKBKH05996076244-NOVA CHEMICALS IND-INV-2026-1156-CR,KKBKH05996076244,,36024.84,2989345.82
2026-08-24,2026-08-24,RAZORPAY SETTLEMENT setl_zxOJbtF425Wiou 1 TXNS,PUNBR10055252865,,44636.36,3033982.18
2026-08-25,2026-08-25,INW REM 574494 SUNRISE TEXTILES L INV20261158,KKBKH59333545162,,13686.21,3047668.39
2026-08-25,2026-08-25,RAZORPAY SETTLEMENT setl_BFtDtQlLZsdGpY 3 TXNS,AXISP70289503848,,66015.94,3113684.33
2026-08-28,2026-08-28,NEFT-KKBKH28369123573-LOTUS PAPER MILLS-CR,KKBKH28369123573,,48732.20,3162416.53
2026-08-28,2026-08-28,IMPS/09013210758/KAVERI AGRO EXPORT/INV-2026-1163,ICICR09013210758,,10037.48,3172454.01
2026-08-29,2026-08-29,RAZORPAY SETTLEMENT setl_O9OICVIaDnz28r 3 TXNS,PUNBR89844461740,,44799.03,3217253.04
2026-08-31,2026-08-31,NEFT-HDFCN74975600082-DECCAN PHARMA DIST-CR,HDFCN74975600082,,15074.25,3232327.29
2026-08-31,2026-08-31,RTGS-UTIBP45791150551-QUANTUM INSTRUMENT-INV-2026-1165-CR,UTIBP45791150551,,47336.39,3279663.68
2026-08-31,2026-08-31,NEFT-AXISP14833031525-VERTEX ENGINEERIN-CR,AXISP14833031525,,48398.09,3328061.77
2026-08-31,2026-08-31,RAZORPAY SETTLEMENT setl_Dm50GTBIVd3AAY 1 TXNS,HDFCN04522848492,,5801.38,3333863.15
2026-08-31,2026-08-31,RAZORPAY SETTLEMENT setl_JeF5uDjHJWtUQO 1 TXNS,UTIBP55401119435,,13927.80,3347790.95
2026-09-01,2026-09-01,NEFT-AXISP91304521001-SILVERLINE PACKAGI-CR,AXISP91304521001,,39975.58,3387766.53
2026-09-01,2026-09-01,NEFT-HDFCN22379383938-MERIDIAN LOGISTICS-CR,HDFCN22379383938,,8997.18,3396763.71
2026-09-02,2026-09-02,NEFT-UTIBP84071288645-MERIDIAN LOGISTICS-CR,UTIBP84071288645,,37855.09,3434618.80
2026-09-03,2026-09-03,RAZORPAY SETTLEMENT setl_S3jMhgOlWA6WaL 3 TXNS,PUNBR73157040388,,56744.86,3491363.66
2026-09-03,2026-09-03,IMPS/24570292929/HARBOUR MARINE SUP/INV-2026-1171,PUNBR24570292929,,27165.00,3518528.66
2026-09-03,2026-09-03,BY CLG/346921/QUANTUM INSTRUMENT,UTIBP61307099749,,17645.69,3536174.35
2026-09-03,2026-09-03,CHARGEBACK REV AXISP14833031525 DISPUTE,AXISP14833031525,48398.09,,3487776.26
2026-09-07,2026-09-07,NEFT-UTIBP79630141849-ACME INDUSTRIAL SU-CR,UTIBP79630141849,,20233.73,3508009.99
2026-09-07,2026-09-07,RTGS-KKBKH63765170736-GREENFIELD ORGANIC-INV-2026-1179-CR,KKBKH63765170736,,39183.55,3547193.54
2026-09-07,2026-09-07,IMPS/08760386266/LOTUS PAPER MILLS/INV-2026-1176,UTIBP08760386266,,20261.98,3567455.52
2026-09-07,2026-09-07,NEFT-PUNBR98039194083-SUNLINE TEXTILES L-CR,PUNBR98039194083,,27003.31,3594458.83
2026-09-07,2026-09-07,MB:9845061127-ACME RETAIL PVT LT-INV/2026/1177,HDFCN95895559607,,20737.31,3615196.14
2026-09-07,2026-09-07,NEFT-UTIBP76318658256-KAVERI AGRO EXPORT-INV-2026-1178-CR,UTIBP76318658256,,35457.01,3650653.15
2026-09-08,2026-09-08,RAZORPAY SETTLEMENT setl_3X9AEHZ9hYLbWc 1 TXNS,HDFCN41860995025,,28876.88,3679530.03
2026-09-08,2026-09-08,RTGS-HDFCN77237691516-ORCHID FOODS PVT-CR,HDFCN77237691516,,48313.36,3727843.39
2026-09-08,2026-09-08,IMPS/89434585678/SUNLINE TEXTILES L,ICICR89434585678,,44077.29,3771920.68
2026-09-09,2026-09-09,RAZORPAY SETTLEMENT setl_Boqofcmw5VOQrv 3 TXNS,PUNBR34632460156,,13347.28,3785267.96
2026-09-11,2026-09-11,NEFT-PUNBR50859171174-SILVERLINE PACKAGI-INV-2026-1187-CR,PUNBR50859171174,,972.09,3786240.05
2026-09-14,2026-09-14,IMPS/14270769103/GREENFIELD ORGANIC,UTIBP14270769103,,45399.90,3831639.95
