invoice_no,customer_name,customer_gstin,invoice_date,due_date,gross_amount,tds_amount,net_receivable,currency,status,po_reference
INV-2026-1037,ACME Retails Pvt Ltd,29AABCA1234M1Z5,2026-06-21,2026-07-21,27670.00,0.00,27670.00,INR,open,PO-ACME-64134
INV-2026-1038,Meridian Logistics,29AAPFM3456Q1ZB,2026-06-20,2026-07-20,5240.00,0.00,5240.00,INR,open,PO-MERI-53904
INV-2026-1039,Acme Retail Pvt Ltd,29AABCA1234M1Z5,2026-06-20,2026-07-20,30679.00,613.58,30065.42,INR,open,PO-ACME-61114
INV-2026-1040,Nova Chemicals India Pvt Ltd,24AADCN2345S1ZQ,2026-06-19,2026-07-19,15234.00,0.00,15234.00,INR,open,PO-NOVA-31549
INV-2026-1041,ACME Retails Pvt Ltd,29AABCA1234M1Z5,2026-06-20,2026-07-20,3450.00,0.00,3450.00,INR,open,PO-ACME-25022
INV-2026-1042,DECCAN PHARMA DIST,36AAFCD6789T1ZW,2026-06-21,2026-07-21,7266.00,0.00,7266.00,INR,open,PO-DECC-63026
INV-2026-1043,Kaveri Agro Exports Pvt Ltd,29AAECK7890R1ZM,2026-06-24,2026-07-24,10943.00,0.00,10943.00,INR,open,PO-KAVE-92167
INV-2026-1044,Sunrise Textiles Limited,33AAGCS9012P1Z3,2026-06-22,2026-07-22,3986.00,0.00,3986.00,INR,open,PO-SUNR-32991
INV-2026-1045,VERTEX ENGG,27AAGCV8901V1ZL,2026-06-22,2026-07-22,215.00,0.00,215.00,INR,open,PO-VERT-61274
INV-2026-1046,Acme Retail Private Limited,29AABCA1234M1Z5,2026-06-24,2026-07-24,30764.00,0.00,30764.00,INR,open,PO-ACME-45492
INV-2026-1047,Acme Industrial Supplies Private Limited,29AABCA1234M1Z1,2026-06-24,2026-07-24,1450.00,0.00,1450.00,INR,open,PO-ACME-84799
INV-2026-1048,KAVERI AGRO,29AAECK7890R1ZM,2026-06-24,2026-07-24,18700.00,0.00,18700.00,INR,open,PO-KAVE-57275
INV-2026-1049,Sunline Textiles Limited,33AAGCS9012P1Z9,2026-06-25,2026-07-25,9100.00,0.00,9100.00,INR,open,PO-SUNL-25830
INV-2026-1050,GREENFIELD ORGANIC,36AABCG6789X1ZH,2026-06-26,2026-07-26,13399.00,0.00,13399.00,INR,open,PO-GREE-11686
INV-2026-1051,DECCAN PHARMA DIST,36AAFCD6789T1ZW,2026-06-25,2026-07-25,47505.00,0.00,47505.00,INR,open,PO-DECC-13132
INV-2026-1052,Sunrise Textile Limited,33AAGCS9012P1Z3,2026-06-25,2026-07-25,10978.00,219.56,10758.44,INR,open,PO-SUNR-44901
INV-2026-1053,Silverline Packaging,29AAQFS2345W1ZD,2026-06-27,2026-07-27,16154.00,323.08,15830.92,INR,open,PO-SILV-65962
INV-2026-1054,Bharati Traders,27AACFB5678N1Z2,2026-06-26,2026-07-26,44717.00,0.00,44717.00,INR,open,PO-BHAR-57420
INV-2026-1055,Meridian Logistic LLP,29AAPFM3456Q1ZB,2026-06-30,2026-07-30,17014.00,0.00,17014.00,INR,open,PO-MERI-80480
INV-2026-1056,ACME Retails Pvt Ltd,29AABCA1234M1Z5,2026-06-28,2026-07-28,634.00,0.00,634.00,INR,open,PO-ACME-23850
INV-2026-1057,VERTEX ENGG,27AAGCV8901V1ZL,2026-06-30,2026-07-30,43527.00,0.00,43527.00,INR,open,PO-VERT-18248
INV-2026-1058,Harbour Marine Supply,33AAECH4567Z1ZN,2026-06-28,2026-07-28,31240.00,0.00,31240.00,INR,open,PO-HARB-40683
INV-2026-1059,Acme Retail Pvt Ltd,29AABCA1234M1Z5,2026-06-30,2026-07-30,2875.00,0.00,2875.00,INR,open,PO-ACME-85899
INV-2026-1060,Sunline Textiles Ltd,33AAGCS9012P1Z9,2026-06-28,2026-07-28,20168.00,403.36,19764.64,INR,open,PO-SUNL-24453
INV-2026-1061,Deccan Pharma Distributor,36AAFCD6789T1ZW,2026-07-02,2026-08-01,7432.00,0.00,7432.00,INR,open,PO-DECC-52996
INV-2026-1062,Orchid Foods Pvt Ltd,29AAJCO4567U1ZC,2026-07-01,2026-07-31,6350.00,0.00,6350.00,INR,open,PO-ORCH-97112
INV-2026-1063,Acme Industrial Supplies Private Limited,29AABCA1234M1Z1,2026-07-03,2026-08-02,33297.00,0.00,33297.00,INR,open,PO-ACME-13911
INV-2026-1064,Meridian Logistics,29AAPFM3456Q1ZB,2026-07-01,2026-07-31,549.00,0.00,549.00,INR,open,PO-MERI-81284
INV-2026-1065,Sunrise Textiles Limited,33AAGCS9012P1Z3,2026-07-03,2026-08-02,45177.00,0.00,45177.00,INR,open,PO-SUNR-43630
INV-2026-1066,Bharat Traders & Co,27AACFB5678N1ZK,2026-07-01,2026-07-31,19123.00,0.00,19123.00,INR,open,PO-BHAR-63635
INV-2026-1067,Orchid Foods Private Limited,29AAJCO4567U1ZC,2026-07-06,2026-08-05,14750.00,0.00,14750.00,INR,open,PO-ORCH-20286
INV-2026-1068,Quantum Instruments Private Limited,29AADCQ8901A1ZF,2026-07-06,2026-08-05,14750.00,0.00,14750.00,INR,open,PO-QUAN-77987
INV-2026-1069,Deccan Pharma Distributor,36AAFCD6789T1ZW,2026-07-05,2026-08-04,14750.00,0.00,14750.00,INR,open,PO-DECC-70443
INV-2026-1070,Nova Chemicals India Pvt Ltd,24AADCN2345S1ZQ,2026-07-06,2026-08-05,4273.00,0.00,4273.00,INR,open,PO-NOVA-32048
INV-2026-1071,Pinnacle Steels Traders,27AACCP0123Y1ZR,2026-07-06,2026-08-05,3748.00,0.00,3748.00,INR,open,PO-PINN-74438
INV-2026-1072,MERIDIAN LOGISTICS,29AAPFM3456Q1ZB,2026-07-06,2026-08-05,780.00,0.00,780.00,INR,open,PO-MERI-90024
INV-2026-1073,Acme Retail P Ltd,29AABCA1234M1Z5,2026-07-07,2026-08-06,3167.00,0.00,3167.00,INR,open,PO-ACME-38660
INV-2026-1074,Bharat Traders,27AACFB5678N1ZK,2026-07-09,2026-08-08,12480.00,0.00,12480.00,INR,open,PO-BHAR-55894
INV-2026-1075,Bharati Traders,27AACFB5678N1Z2,2026-07-08,2026-08-07,8386.00,167.72,8218.28,INR,open,PO-BHAR-81799
INV-2026-1076,Sunline Textiles Limited,33AAGCS9012P1Z9,2026-07-08,2026-08-07,28153.00,563.06,27589.94,INR,open,PO-SUNL-87174
INV-2026-1077,Harbour Marine Supply,33AAECH4567Z1ZN,2026-07-07,2026-08-06,29359.00,0.00,29359.00,INR,open,PO-HARB-21497
INV-2026-1078,Bharati Traders LLP,27AACFB5678N1Z2,2026-07-07,2026-08-06,31464.00,0.00,31464.00,INR,open,PO-BHAR-91220
INV-2026-1079,Greenfield Organics Pvt Ltd,36AABCG6789X1ZH,2026-07-10,2026-08-09,28762.00,575.24,28186.76,INR,open,PO-GREE-11141
INV-2026-1080,Acme Retail P Ltd,29AABCA1234M1Z5,2026-07-11,2026-08-10,33382.00,0.00,33382.00,INR,open,PO-ACME-45081
INV-2026-1081,Pinnacle Steel Traders,27AACCP0123Y1ZR,2026-07-10,2026-08-09,24188.00,0.00,24188.00,INR,open,PO-PINN-55848
INV-2026-1082,Kaveri Agro Exports Pvt Ltd,29AAECK7890R1ZM,2026-07-12,2026-08-11,25582.00,0.00,25582.00,INR,open,PO-KAVE-97135
INV-2026-1083,Lotus Paper Mills Ltd,24AAFCL2345B1ZT,2026-07-11,2026-08-10,529.00,10.58,518.42,INR,open,PO-LOTU-27739
INV-2026-1084,Acme Industrial Supplies Private Limited,29AABCA1234M1Z1,2026-07-12,2026-08-11,43218.00,0.00,43218.00,INR,open,PO-ACME-67549
INV-2026-1085,ACME Retails Pvt Ltd,29AABCA1234M1Z5,2026-07-15,2026-08-14,25187.00,0.00,25187.00,INR,open,PO-ACME-72551
INV-2026-1086,Bharat Traders & Co,27AACFB5678N1ZK,2026-07-13,2026-08-12,26558.00,0.00,26558.00,INR,open,PO-BHAR-59376
INV-2026-1087,Acme Industrial Supplies Pvt Ltd,29AABCA1234M1Z1,2026-07-14,2026-08-13,11088.00,0.00,11088.00,INR,open,PO-ACME-65883
INV-2026-1088,Kaveri Agro Exports Pvt Ltd,29AAECK7890R1ZM,2026-07-14,2026-08-13,12779.00,0.00,12779.00,INR,open,PO-KAVE-88344
INV-2026-1089,Pinnacle Steels Traders,27AACCP0123Y1ZR,2026-07-15,2026-08-14,34052.00,0.00,34052.00,INR,open,PO-PINN-35867
INV-2026-1090,Bharat Traders and Co,27AACFB5678N1ZK,2026-07-15,2026-08-14,896.00,0.00,896.00,INR,open,PO-BHAR-85968
INV-2026-1091,SUNRISE TEXTILES,33AAGCS9012P1Z3,2026-07-16,2026-08-15,6589.00,0.00,6589.00,INR,open,PO-SUNR-56642
INV-2026-1092,BHARAT TRADERS CO,27AACFB5678N1ZK,2026-07-18,2026-08-17,36943.00,0.00,36943.00,INR,open,PO-BHAR-28144
INV-2026-1093,SUNRISE TEXTILES,33AAGCS9012P1Z3,2026-07-18,2026-08-17,11875.00,0.00,11875.00,INR,open,PO-SUNR-76828
INV-2026-1094,Orchid Foods Pvt Ltd,29AAJCO4567U1ZC,2026-07-17,2026-08-16,18497.00,0.00,18497.00,INR,open,PO-ORCH-39382
INV-2026-1095,Sunline Textiles Limited,33AAGCS9012P1Z9,2026-07-18,2026-08-17,16465.00,0.00,16465.00,INR,open,PO-SUNL-55678
INV-2026-1096,Acme Retail P Ltd,29AABCA1234M1Z5,2026-07-18,2026-08-17,40669.00,0.00,40669.00,INR,open,PO-ACME-40430
INV-2026-1097,Harbour Marine Supplies,33AAECH4567Z1ZN,2026-07-19,2026-08-18,27868.00,0.00,27868.00,INR,open,PO-HARB-49151
INV-2026-1098,Acme Retail P Ltd,29AABCA1234M1Z5,2026-07-21,2026-08-20,2378.00,0.00,2378.00,INR,open,PO-ACME-86215
INV-2026-1099,Orchid Foods Private Limited,29AAJCO4567U1ZC,2026-07-19,2026-08-18,4210.00,0.00,4210.00,INR,open,PO-ORCH-94805
INV-2026-1100,Orchid Foods Private Limited,29AAJCO4567U1ZC,2026-07-20,2026-08-19,47921.00,0.00,47921.00,INR,open,PO-ORCH-38822
INV-2026-1101,Nova Chemicals India Private Limited,24AADCN2345S1ZQ,2026-07-19,2026-08-18,33390.00,0.00,33390.00,INR,open,PO-NOVA-91344
INV-2026-1102,VERTEX ENGG,27AAGCV8901V1ZL,2026-07-21,2026-08-20,23874.00,0.00,23874.00,INR,open,PO-VERT-67688
INV-2026-1103,Quantum Instruments Private Limited,29AADCQ8901A1ZF,2026-07-24,2026-08-23,513.32,0.00,513.32,INR,open,PO-QUAN-76188
INV-2026-1104,Quantum Instruments Pvt Ltd,29AADCQ8901A1ZF,2026-07-22,2026-08-21,308.00,0.00,308.00,INR,open,PO-QUAN-87634
INV-2026-1105,Quantum Instruments Private Limited,29AADCQ8901A1ZF,2026-07-24,2026-08-23,461.99,0.00,461.99,INR,open,PO-QUAN-22322
INV-2026-1106,Quantum Instruments Pvt Ltd,29AADCQ8901A1ZF,2026-07-24,2026-08-23,359.33,0.00,359.33,INR,open,PO-QUAN-34132
INV-2026-1107,Deccan Pharma Distributors,36AAFCD6789T1ZW,2026-07-22,2026-08-21,2773.00,0.00,2773.00,INR,open,PO-DECC-41419
INV-2026-1108,Acme Industrial Supplies Pvt Ltd,29AABCA1234M1Z1,2026-07-24,2026-08-23,2359.00,0.00,2359.00,INR,open,PO-ACME-86602
INV-2026-1109,VERTEX ENGG,27AAGCV8901V1ZL,2026-07-26,2026-08-25,25896.00,0.00,25896.00,INR,open,PO-VERT-13413
INV-2026-1110,MERIDIAN LOGISTICS,29AAPFM3456Q1ZB,2026-07-27,2026-08-26,27916.00,0.00,27916.00,INR,open,PO-MERI-76293
INV-2026-1111,Orchid Foods Pvt Ltd,29AAJCO4567U1ZC,2026-07-25,2026-08-24,6706.00,0.00,6706.00,INR,open,PO-ORCH-31936
INV-2026-1112,GREENFIELD ORGANIC,36AABCG6789X1ZH,2026-07-26,2026-08-25,49562.00,0.00,49562.00,INR,open,PO-GREE-75680
INV-2026-1113,Acme Retail Pvt Ltd,29AABCA1234M1Z5,2026-07-25,2026-08-24,16478.00,0.00,16478.00,INR,open,PO-ACME-60011
INV-2026-1114,Sunrise Textiles Ltd,33AAGCS9012P1Z3,2026-07-27,2026-08-26,33102.00,662.04,32439.96,INR,open,PO-SUNR-62124
INV-2026-1115,Silverline Packaging LLP,29AAQFS2345W1ZD,2026-07-30,2026-08-29,38590.00,0.00,38590.00,INR,open,PO-SILV-98827
INV-2026-1116,Sunline Textiles Ltd,33AAGCS9012P1Z9,2026-07-29,2026-08-28,15036.00,0.00,15036.00,INR,open,PO-SUNL-79170
INV-2026-1117,Bharati Traders,27AACFB5678N1Z2,2026-07-28,2026-08-27,29914.00,0.00,29914.00,INR,open,PO-BHAR-14580
INV-2026-1118,Lotus Paper Mills Ltd,24AAFCL2345B1ZT,2026-07-29,2026-08-28,918.00,0.00,918.00,INR,open,PO-LOTU-93726
INV-2026-1119,Acme Retail P Ltd,29AABCA1234M1Z5,2026-07-28,2026-08-27,37264.00,745.28,36518.72,INR,open,PO-ACME-51413
INV-2026-1120,Sunline Textiles Ltd,33AAGCS9012P1Z9,2026-07-29,2026-08-28,924.00,0.00,924.00,INR,open,PO-SUNL-27184
INV-2026-1121,ACME Retails Pvt Ltd,29AABCA1234M1Z5,2026-08-02,2026-09-01,32868.00,0.00,32868.00,INR,open,PO-ACME-67505
INV-2026-1122,Pinnacle Steel Traders,27AACCP0123Y1ZR,2026-07-31,2026-08-30,37716.00,0.00,37716.00,INR,open,PO-PINN-16021
INV-2026-1123,Sunline Textiles Ltd,33AAGCS9012P1Z9,2026-08-02,2026-09-01,49086.00,0.00,49086.00,INR,open,PO-SUNL-93039
INV-2026-1124,Meridian Logistics,29AAPFM3456Q1ZB,2026-07-31,2026-08-30,39813.00,796.26,39016.74,INR,open,PO-MERI-23025
INV-2026-1125,Deccan Pharma Distributor,36AAFCD6789T1ZW,2026-08-01,2026-08-31,39482.00,0.00,39482.00,INR,open,PO-DECC-77454
INV-2026-1126,Sunrise Textiles Limited,33AAGCS9012P1Z3,2026-08-01,2026-08-31,17682.00,0.00,17682.00,INR,open,PO-SUNR-74632
INV-2026-1127,Acme Industrial Supplies Pvt Ltd,29AABCA1234M1Z1,2026-08-05,2026-09-04,30028.00,0.00,30028.00,INR,open,PO-ACME-41013
INV-2026-1128,Pinnacle Steel Traders,27AACCP0123Y1ZR,2026-08-04,2026-09-03,46936.00,0.00,46936.00,INR,open,PO-PINN-74657
INV-2026-1129,Acme Industrial Supplies Pvt Ltd,29AABCA1234M1Z1,2026-08-05,2026-09-04,15369.00,0.00,15369.00,INR,open,PO-ACME-11587
INV-2026-1130,SUNRISE TEXTILES,33AAGCS9012P1Z3,2026-08-03,2026-09-02,14605.00,0.00,14605.00,INR,open,PO-SUNR-92657
INV-2026-1131,Lotus Paper Mills Ltd,24AAFCL2345B1ZT,2026-08-04,2026-09-03,451.00,0.00,451.00,INR,open,PO-LOTU-29810
INV-2026-1132,Pinnacle Steel Traders,27AACCP0123Y1ZR,2026-08-03,2026-09-02,16139.00,322.78,15816.22,INR,open,PO-PINN-86751
INV-2026-1133,Bharat Traders & Co,27AACFB5678N1ZK,2026-08-07,2026-09-06,21211.00,0.00,21211.00,INR,open,PO-BHAR-46014
INV-2026-1134,Meridian Logistics,29AAPFM3456Q1ZB,2026-08-08,2026-09-07,40862.00,0.00,40862.00,INR,open,PO-MERI-91958
INV-2026-1135,Harbour Marine Supplies,33AAECH4567Z1ZN,2026-08-08,2026-09-07,27671.00,0.00,27671.00,INR,open,PO-HARB-22240
INV-2026-1136,Sunline Textiles Limited,33AAGCS9012P1Z9,2026-08-06,2026-09-05,21234.00,0.00,21234.00,INR,open,PO-SUNL-59497
INV-2026-1137,Silverline Packaging,29AAQFS2345W1ZD,2026-08-07,2026-09-06,20621.00,0.00,20621.00,INR,open,PO-SILV-41606
INV-2026-1138,GREENFIELD ORGANIC,36AABCG6789X1ZH,2026-08-07,2026-09-06,6207.00,0.00,6207.00,INR,open,PO-GREE-76068
INV-2026-1139,Sunline Textiles Ltd,33AAGCS9012P1Z9,2026-08-10,2026-09-09,21745.00,0.00,21745.00,INR,open,PO-SUNL-62246
INV-2026-1140,Pinnacle Steel Traders,27AACCP0123Y1ZR,2026-08-10,2026-09-09,24402.00,0.00,24402.00,INR,open,PO-PINN-20305
INV-2026-1141,GREENFIELD ORGANIC,36AABCG6789X1ZH,2026-08-09,2026-09-08,22417.00,0.00,22417.00,INR,open,PO-GREE-85885
INV-2026-1142,Bharat Traders,27AACFB5678N1ZK,2026-08-10,2026-09-09,14465.00,0.00,14465.00,INR,open,PO-BHAR-60413
INV-2026-1143,VERTEX ENGG,27AAGCV8901V1ZL,2026-08-09,2026-09-08,7152.00,0.00,7152.00,INR,open,PO-VERT-95887
INV-2026-1144,VERTEX ENGG,27AAGCV8901V1ZL,2026-08-09,2026-09-08,15373.00,0.00,15373.00,INR,open,PO-VERT-69543
INV-2026-1145,Sunrise Textiles Limited,33AAGCS9012P1Z3,2026-08-12,2026-09-11,47099.00,0.00,47099.00,INR,open,PO-SUNR-99252
INV-2026-1146,Acme Industrial Supplies Private Limited,29AABCA1234M1Z1,2026-08-13,2026-09-12,5054.00,0.00,5054.00,INR,open,PO-ACME-33092
INV-2026-1147,Sunrise Textiles Ltd,33AAGCS9012P1Z3,2026-08-12,2026-09-11,6176.00,0.00,6176.00,INR,open,PO-SUNR-12709
INV-2026-1148,VERTEX ENGG,27AAGCV8901V1ZL,2026-08-12,2026-09-11,14643.00,0.00,14643.00,INR,open,PO-VERT-97103
INV-2026-1149,Bharat Traders and Co,27AACFB5678N1ZK,2026-08-12,2026-09-11,10169.00,0.00,10169.00,INR,open,PO-BHAR-19077
INV-2026-1150,Sunrise Textiles Limited,33AAGCS9012P1Z3,2026-08-14,2026-09-13,23294.00,0.00,23294.00,INR,open,PO-SUNR-61527
INV-2026-1151,Sunline Textiles Limited,33AAGCS9012P1Z9,2026-08-15,2026-09-14,2821.00,0.00,2821.00,INR,open,PO-SUNL-60233
INV-2026-1152,Meridian Logistics,29AAPFM3456Q1ZB,2026-08-16,2026-09-15,21859.00,0.00,21859.00,INR,open,PO-MERI-40584
INV-2026-1153,Acme Industrial Supplies Private Limited,29AABCA1234M1Z1,2026-08-15,2026-09-14,21105.00,422.10,20682.90,INR,open,PO-ACME-51068
INV-2026-1154,Quantum Instruments Private Limited,29AADCQ8901A1ZF,2026-08-16,2026-09-15,42061.00,0.00,42061.00,INR,open,PO-QUAN-81308
INV-2026-1155,Vertex Engineering Works,27AAGCV8901V1ZL,2026-08-17,2026-09-16,28874.00,0.00,28874.00,INR,open,PO-VERT-97707
INV-2026-1156,BHARAT TRADERS CO,27AACFB5678N1ZK,2026-08-16,2026-09-15,22199.00,0.00,22199.00,INR,open,PO-BHAR-85398
INV-2026-1157,Greenfield Organics Pvt Ltd,36AABCG6789X1ZH,2026-08-18,2026-09-17,1666.00,0.00,1666.00,INR,open,PO-GREE-84184
INV-2026-1158,Bharati Traders,27AACFB5678N1Z2,2026-08-18,2026-09-17,18848.00,0.00,18848.00,INR,open,PO-BHAR-76632
INV-2026-1159,Sunrise Textile Limited,33AAGCS9012P1Z3,2026-08-19,2026-09-18,32928.00,0.00,32928.00,INR,open,PO-SUNR-86995
INV-2026-1160,MERIDIAN LOGISTICS,29AAPFM3456Q1ZB,2026-08-20,2026-09-19,45075.00,901.50,44173.50,INR,open,PO-MERI-94702
INV-2026-1161,Acme Industrial Supplies Pvt Ltd,29AABCA1234M1Z1,2026-08-18,2026-09-17,31275.00,0.00,31275.00,INR,open,PO-ACME-23190
INV-2026-1162,Orchid Foods Pvt Ltd,29AAJCO4567U1ZC,2026-08-18,2026-09-17,11530.00,230.60,11299.40,INR,open,PO-ORCH-15532
INV-2026-1163,Meridian Logistics,29AAPFM3456Q1ZB,2026-08-22,2026-09-21,39028.00,0.00,39028.00,INR,open,PO-MERI-19122
INV-2026-1164,Sunrise Textile Limited,33AAGCS9012P1Z3,2026-08-22,2026-09-21,33413.00,0.00,33413.00,INR,open,PO-SUNR-18412
INV-2026-1165,Deccan Pharma Distributor,36AAFCD6789T1ZW,2026-08-23,2026-09-22,35797.00,0.00,35797.00,INR,open,PO-DECC-88817
INV-2026-1166,MERIDIAN LOGISTICS,29AAPFM3456Q1ZB,2026-08-22,2026-09-21,13619.00,0.00,13619.00,INR,open,PO-MERI-70340
INV-2026-1167,Sunline Textiles Limited,33AAGCS9012P1Z9,2026-08-23,2026-09-22,29947.00,0.00,29947.00,INR,open,PO-SUNL-84453
INV-2026-1168,Sunrise Textiles Ltd,33AAGCS9012P1Z3,2026-08-22,2026-09-21,6374.00,0.00,6374.00,INR,open,PO-SUNR-68545
INV-2026-1169,KAVERI AGRO,29AAECK7890R1ZM,2026-08-24,2026-09-23,34171.00,683.42,33487.58,INR,open,PO-KAVE-80047
INV-2026-1170,Pinnacle Steel Traders,27AACCP0123Y1ZR,2026-08-26,2026-09-25,15238.00,0.00,15238.00,INR,open,PO-PINN-16763
INV-2026-1171,Meridian Logistic LLP,29AAPFM3456Q1ZB,2026-08-26,2026-09-25,43302.00,0.00,43302.00,INR,open,PO-MERI-38779
INV-2026-1172,Bharati Traders,27AACFB5678N1Z2,2026-08-25,2026-09-24,11140.00,0.00,11140.00,INR,open,PO-BHAR-10283
INV-2026-1173,Silverline Packaging,29AAQFS2345W1ZD,2026-08-25,2026-09-24,45847.00,916.94,44930.06,INR,open,PO-SILV-57797
INV-2026-1174,Orchid Foods Private Limited,29AAJCO4567U1ZC,2026-08-24,2026-09-23,33219.00,0.00,33219.00,INR,open,PO-ORCH-51599
INV-2026-1175,Lotus Paper Mills Limited,24AAFCL2345B1ZT,2026-08-28,2026-09-27,46733.00,0.00,46733.00,INR,open,PO-LOTU-64098
